,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,output,probability
0,3,male,34.5,0,0,7.8292,Q,0,0.8131503341323589
1,3,female,47.0,1,0,7.0,S,1,0.5182831017191384
2,2,male,62.0,0,0,9.6875,Q,0,0.7401921238670437
3,3,male,27.0,0,0,8.6625,S,0,0.8169378238714518
4,3,female,22.0,1,1,12.2875,S,1,0.5704435952275738
5,3,male,14.0,0,0,9.225,S,0,0.8045921727767025
6,3,female,30.0,0,0,7.6292,Q,1,0.5244616487674734
7,2,male,26.0,1,1,29.0,S,0,0.6995992924667354
8,3,female,18.0,0,0,7.2292,C,1,0.5337329046370264
9,3,male,21.0,2,0,24.15,S,0,0.7753992081734313
10,3,male,,0,0,7.8958,S,0,0.8441382800924093
11,1,male,46.0,0,0,26.0,S,0,0.6718443749728575
12,1,female,23.0,1,0,82.2667,S,1,0.7421138502715966
13,2,male,63.0,1,0,26.0,S,0,0.7176016927020629
14,1,female,47.0,1,0,61.175,S,1,0.7431659477148035
15,2,female,24.0,1,0,27.7208,C,1,0.70872294536735
16,2,male,35.0,0,0,12.35,Q,0,0.7227527098242701
17,3,male,21.0,0,0,7.225,C,0,0.7743431807569403
18,3,female,27.0,1,0,7.925,S,1,0.5159724667080385
19,3,female,45.0,0,0,7.225,C,1,0.5318054026524832
20,1,male,55.0,1,0,59.4,C,0,0.6163829201707732
21,3,male,9.0,0,1,3.1708,S,0,0.8100713632194284
22,1,female,,0,0,31.6833,S,1,0.7351778447946169
23,1,male,21.0,0,1,61.3792,C,0,0.613497259909112
24,1,female,48.0,1,3,262.375,C,1,0.7375066645467039
25,3,male,50.0,1,0,14.5,S,0,0.8022205707626134
26,1,female,22.0,0,1,61.9792,C,1,0.735646123866852
27,3,male,22.5,0,0,7.225,C,0,0.7744889661093125
28,1,male,41.0,0,0,30.5,S,0,0.6566941957926152
29,3,male,,2,0,21.6792,C,0,0.7536016463778894
30,2,male,50.0,1,0,26.0,S,0,0.7176016927020629
31,2,male,24.0,2,0,31.5,S,0,0.6989630847551231
32,3,female,33.0,1,2,20.575,S,1,0.5786169125128173
33,3,female,,1,2,23.45,S,1,0.585274527415021
34,1,male,30.0,1,0,57.75,C,0,0.6166870142532748
35,3,male,18.5,0,0,7.2292,C,0,0.7654342890462487
36,3,female,,0,0,8.05,S,1,0.513652223094678
37,3,female,21.0,0,0,8.6625,S,1,0.516676352709855
38,3,male,25.0,0,0,9.5,S,0,0.811177521953376
39,3,male,,0,0,56.4958,S,0,0.7593435520931224
40,3,male,39.0,0,1,13.4167,C,0,0.7627458960554752
41,1,male,,0,0,26.55,S,0,0.658213340338055
42,3,male,41.0,0,0,7.85,S,0,0.8344334268711984
43,2,female,30.0,0,0,13.0,S,1,0.6834990604348854
44,1,female,45.0,1,0,52.5542,S,1,0.7425668486157044
45,3,male,25.0,0,0,7.925,S,0,0.8182543705026457
46,1,male,45.0,0,0,29.7,C,0,0.6315022273960228
47,3,male,,0,0,7.75,Q,0,0.8176182686176263
48,1,female,60.0,0,0,76.2917,C,1,0.7375066645467039
49,3,female,36.0,0,2,15.9,S,1,0.5767513207131783
50,1,male,24.0,1,0,60.0,S,0,0.6395488711058746
51,2,male,27.0,0,0,15.0333,C,0,0.69884879757153
52,2,female,20.0,2,1,23.0,S,1,0.6942964691904447
53,1,female,28.0,3,2,263.0,S,1,0.7428777287239904
54,2,male,,0,0,15.5792,C,0,0.6994025085371458
55,3,male,10.0,4,1,29.125,Q,0,0.7379556835084125
56,3,male,35.0,0,0,7.8958,S,0,0.8384408990398381
57,3,male,25.0,0,0,7.65,S,0,0.8213614747148912
58,3,male,,1,0,16.1,S,0,0.793581494064576
59,1,female,36.0,0,0,262.375,C,1,0.7378949725864945
60,3,male,17.0,0,0,7.8958,S,0,0.8141451260988346
61,2,male,32.0,0,0,13.5,S,0,0.735173059016462
62,3,male,18.0,0,0,7.75,S,0,0.8100713632194284
63,3,female,22.0,0,0,7.725,Q,1,0.5253642606021676
64,1,male,13.0,2,2,262.375,C,0,0.6096923564659387
65,2,female,,0,0,21.0,S,1,0.6908351447017143
66,3,female,18.0,0,0,7.8792,Q,1,0.5254158274931195
67,1,male,47.0,0,0,42.4,S,0,0.6566941957926152
68,1,male,31.0,0,0,28.5375,C,0,0.629993613137073
69,1,female,60.0,1,4,263.0,S,1,0.7431659477148035
70,3,female,24.0,0,0,7.75,Q,1,0.5253642606021676
71,3,male,21.0,0,0,7.8958,S,0,0.8232773749767036
